numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,status,scan_timestamp
W4 5018,Decollo,15:45,15:45,TIRANA,OPERATO DA WIZZAIR HUNGARY,2026-08-27 11:24:00
FR 3319,Decollo,15:45,15:45,BARCELONA EL PRAT,Operativo,2026-08-27 11:24:00
FR 3530,Decollo,15:45,15:45,PRAGUE,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 1176,Decollo,15:50,16:20,MENORCA,IN RITARDO,2026-08-27 11:24:00
FR 3561,Decollo,15:50,15:50,NAPOLI,Operativo,2026-08-27 11:24:00
FR 865,Decollo,16:00,16:00,BUCHAREST OTOPENI,Operativo,2026-08-27 11:24:00
FR 5102,Decollo,16:05,16:05,BIRMINGHAM,Operativo,2026-08-27 11:24:00
FR 4042,Decollo,16:25,16:25,PORTO,Operativo,2026-08-27 11:24:00
FR 6149,Decollo,16:40,16:40,PALERMO,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 8800,Decollo,16:55,16:55,IBIZA,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 5108,Decollo,17:05,17:05,LOURDES,Operativo,2026-08-27 11:24:00
FR 4663,Decollo,17:05,17:05,VALENCIA,OPERATO DA MALTA AIR,2026-08-27 11:24:00
AZ 7058,Decollo,17:15,17:15,ISTANBUL S. GOKCEN,Operativo,2026-08-27 11:24:00
FR 3559,Decollo,17:15,17:15,BRISTOL,Operativo,2026-08-27 11:24:00
FR 4475,Decollo,17:15,17:15,BRUXELLES CHARLEROI,Operativo,2026-08-27 11:24:00
PC 1214,Decollo,17:15,17:15,ISTANBUL S. GOKCEN,Operativo,2026-08-27 11:24:00
FR 3587,Decollo,17:20,17:20,OSLO TORP,Operativo,2026-08-27 11:24:00
FR 4667,Decollo,17:25,17:25,BARI,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 7976,Decollo,17:45,17:45,KOS,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 8421,Decollo,17:55,17:55,TIRANA,OPERATO DA BUZZ Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-27 11:24:00
FR 3659,Atterraggio,09:55,13:15,BRUXELLES CHARLEROI,IN RITARDO,2026-08-27 11:24:00
FR 2649,Atterraggio,10:50,11:30,MALAGA,IMBARCO CHIUSO,2026-08-27 11:24:00
FR 4201,Atterraggio,10:50,11:47,RHODES,IMBARCO IN CORSO,2026-08-27 11:24:00
FR 1417,Atterraggio,11:15,11:15,LAMEZIA,DECOLLATO,2026-08-27 11:24:00
FR 4650,Atterraggio,11:35,11:35,TRAPANI,IMBARCO ULTIMA CHIAMATA,2026-08-27 11:24:00
FR 1784,Atterraggio,11:35,12:27,COPENHAGEN,IN RITARDO,2026-08-27 11:24:00
FR 4658,Atterraggio,11:35,11:35,BARI,IMBARCO CHIUSO,2026-08-27 11:24:00
AZ 7048,Atterraggio,11:45,11:45,ISTANBUL S. GOKCEN,IMBARCO ULTIMA CHIAMATA,2026-08-27 11:24:00
FR 7324,Atterraggio,11:45,11:45,MALTA,IMBARCO IN CORSO,2026-08-27 11:24:00
PC 1212,Atterraggio,11:45,11:45,ISTANBUL S. GOKCEN,IMBARCO ULTIMA CHIAMATA,2026-08-27 11:24:00
FR 6257,Atterraggio,11:55,12:27,KRAKOW,IN RITARDO,2026-08-27 11:24:00
FR 2872,Atterraggio,12:05,12:05,VILNIUS,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 845,Atterraggio,12:05,12:05,CLUJ-NAPOCA,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 3450,Atterraggio,12:15,12:15,TANGIER,IMBARCO IN CORSO,2026-08-27 11:24:00
FR 2669,Atterraggio,12:45,12:45,BERLIN,IN RITARDO,2026-08-27 11:24:00
VF 062,Atterraggio,12:45,12:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 11:24:00
FR 3142,Atterraggio,12:55,13:28,BARCELONA EL PRAT,IN RITARDO,2026-08-27 11:24:00
FR 5139,Atterraggio,12:55,12:55,FARO,Operativo,2026-08-27 11:24:00
D8 3751,Atterraggio,12:55,12:55,COPENHAGEN,Operativo,2026-08-27 11:24:00
FR 3217,Atterraggio,13:05,13:38,MANCHESTER,IN RITARDO,2026-08-27 11:24:00
FR 6125,Atterraggio,13:20,13:45,DUBLIN,IN RITARDO,2026-08-27 11:24:00
FR 2697,Atterraggio,13:25,13:25,LONDON STANSTED,OPERATO DA MALTA AIR,2026-08-27 11:24:00
W4 3772,Atterraggio,13:25,14:25,CRAIOVA,IN RITARDO,2026-08-27 11:24:00
FR 2864,Atterraggio,13:25,13:25,BRINDISI,Operativo,2026-08-27 11:24:00
FR 5531,Atterraggio,13:30,13:30,COLOGNE,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FZ 1574,Atterraggio,13:40,14:10,DUBAI,IN RITARDO,2026-08-27 11:24:00
YW 8146,Atterraggio,13:40,13:40,PALMA DE MALLORCA,Operativo,2026-08-27 11:24:00
EK 2141,Atterraggio,13:40,14:10,DUBAI,IN RITARDO,2026-08-27 11:24:00
FR 4001,Atterraggio,13:50,13:50,LANZAROTE,Operativo,2026-08-27 11:24:00
F3 586,Atterraggio,14:00,14:00,RIYADH,Operativo,2026-08-27 11:24:00
SM 832,Atterraggio,14:25,14:25,SHARM EL SHEIKH,Operativo,2026-08-27 11:24:00
FR 2254,Atterraggio,14:25,14:25,ALGHERO,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 6513,Atterraggio,14:35,14:35,OLBIA,Operativo,2026-08-27 11:24:00
FR 219,Atterraggio,14:50,14:50,ALICANTE,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 3480,Atterraggio,14:55,14:55,CAGLIARI,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 3460,Atterraggio,14:55,14:55,EINDHOVEN,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 1903,Atterraggio,15:25,15:25,VARSAVIA MODLIN,Operativo,2026-08-27 11:24:00
FR 5980,Atterraggio,15:30,15:30,TOULOUSE,Operativo,2026-08-27 11:24:00
FR 3396,Atterraggio,15:35,15:35,CROTONE,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 6703,Atterraggio,15:35,15:35,SKIATHOS,Operativo,2026-08-27 11:24:00
W4 5018,Atterraggio,15:45,15:45,TIRANA,OPERATO DA WIZZAIR HUNGARY,2026-08-27 11:24:00
FR 3319,Atterraggio,15:45,15:45,BARCELONA EL PRAT,Operativo,2026-08-27 11:24:00
FR 3530,Atterraggio,15:45,15:45,PRAGUE,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 1176,Atterraggio,15:50,16:20,MENORCA,IN RITARDO,2026-08-27 11:24:00
FR 3561,Atterraggio,15:50,15:50,NAPOLI,Operativo,2026-08-27 11:24:00
FR 865,Atterraggio,16:00,16:00,BUCHAREST OTOPENI,Operativo,2026-08-27 11:24:00
FR 5102,Atterraggio,16:05,16:05,BIRMINGHAM,Operativo,2026-08-27 11:24:00
FR 4042,Atterraggio,16:25,16:25,PORTO,Operativo,2026-08-27 11:24:00
FR 6149,Atterraggio,16:40,16:40,PALERMO,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 8800,Atterraggio,16:55,16:55,IBIZA,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 5108,Atterraggio,17:05,17:05,LOURDES,Operativo,2026-08-27 11:24:00
FR 4663,Atterraggio,17:05,17:05,VALENCIA,OPERATO DA MALTA AIR,2026-08-27 11:24:00
AZ 7058,Atterraggio,17:15,17:15,ISTANBUL S. GOKCEN,Operativo,2026-08-27 11:24:00
FR 3559,Atterraggio,17:15,17:15,BRISTOL,Operativo,2026-08-27 11:24:00
FR 4475,Atterraggio,17:15,17:15,BRUXELLES CHARLEROI,Operativo,2026-08-27 11:24:00
PC 1214,Atterraggio,17:15,17:15,ISTANBUL S. GOKCEN,Operativo,2026-08-27 11:24:00
FR 3587,Atterraggio,17:20,17:20,OSLO TORP,Operativo,2026-08-27 11:24:00
FR 4667,Atterraggio,17:25,17:25,BARI,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 7976,Atterraggio,17:45,17:45,KOS,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 8421,Atterraggio,17:55,17:55,TIRANA,OPERATO DA BUZZ Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-27 11:24:00
