callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,stato_destinazione,scan_timestamp
FR 4969,D,PALERMO,20:45,20:45,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 3504,D,KRAKOW,20:50,20:50,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 859,D,BRINDISI,20:55,21:15,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 2892,D,CATANIA,21:05,22:05,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 6304,D,BARCELONA EL PRAT,21:10,21:10,Operativo,Estero/Italia,2026-08-28 18:07:02
W6 4390,D,SOFIA,21:10,21:10,OPERATO DA WIZZAIR MALTA,Estero/Italia,2026-08-28 18:07:02
FR 4658,D,BARI,21:15,21:15,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 18:07:02
FR 3280,D,GDANSK - DANZICA,21:15,21:15,OPERATO DA BUZZ,Estero/Italia,2026-08-28 18:07:02
FR 3164,D,BUDAPEST,21:20,21:20,OPERATO DA BUZZ,Estero/Italia,2026-08-28 18:07:02
FR 2087,D,LISBON,21:30,21:30,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 18:07:02
FR 4714,D,RIGA,21:40,21:40,OPERATO DA BUZZ,Estero/Italia,2026-08-28 18:07:02
FR 5700,D,PALMA DE MALLORCA,21:55,21:55,OPERATO DA LAUDA EUROPE,Estero/Italia,2026-08-28 18:07:02
FR 3341,D,VARSAVIA MODLIN,22:00,22:00,OPERATO DA BUZZ,Estero/Italia,2026-08-28 18:07:02
FR 3506,D,ALICANTE,22:15,22:15,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 3437,D,SOFIA,22:15,22:15,OPERATO DA BUZZ,Estero/Italia,2026-08-28 18:07:02
W4 3552,D,TIMISOARA,22:20,22:20,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 5984,D,MADRID,22:20,22:20,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 9408,D,FEZ,22:20,22:20,Operativo,Estero/Italia,2026-08-28 18:07:02
W4 3136,D,BUCHAREST OTOPENI,22:40,23:45,OPERATO DA WIZZAIR HUNGARY,Estero/Italia,2026-08-28 18:07:02
FR 4188,D,LONDON STANSTED,22:40,22:40,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 3657,D,EDINBURGH,22:45,22:45,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 2990,D,COPENHAGEN,22:55,22:55,Operativo,Estero/Italia,2026-08-28 18:07:02
W4 5020,D,TIRANA,23:00,23:00,OPERATO DA WIZZAIR HUNGARY,Estero/Italia,2026-08-28 18:07:02
FR 3535,D,KRAKOW,23:00,23:00,OPERATO DA BUZZ,Estero/Italia,2026-08-28 18:07:02
FR 8355,D,TIRANA,23:10,23:35,IN RIT,Estero/Italia,2026-08-28 18:07:02
3O 456,D,CASABLANCA,23:30,23:30,Operativo,Estero/Italia,2026-08-28 18:07:02
FZ 1572,D,DUBAI,23:40,00:14,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
EK 2415,D,DUBAI,23:40,00:14,IN RITARDO Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,Estero/Italia,2026-08-28 18:07:02
