numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
W4 3136,Atterraggio,21:45,21:45,BUCHAREST OTOPENI,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-27 19:35:34
W4 5020,Atterraggio,21:45,21:45,TIRANA,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
W4 3932,Atterraggio,21:50,21:50,CHISINAU,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-27 19:35:34
FR 2096,Atterraggio,21:50,22:16,LISBON,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 3164,Atterraggio,22:00,22:00,BUDAPEST,Estero/Italia,OPERATO DA BUZZ,2026-08-27 19:35:34
W4 3382,Atterraggio,22:00,22:00,CLUJ-NAPOCA,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 9372,Atterraggio,22:05,22:05,BRNO,Estero/Italia,Operativo,2026-08-27 19:35:34
W6 4508,Atterraggio,22:10,22:28,VARNA,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-27 19:35:34
FR 9196,Atterraggio,22:15,22:15,TRAPANI,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 8479,Atterraggio,22:20,22:20,TIRANA,Estero/Italia,OPERATO DA BUZZ,2026-08-27 19:35:34
G9 696,Atterraggio,22:50,22:50,SHARJAH,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 2992,Atterraggio,22:55,22:55,COPENHAGEN,Estero/Italia,Operativo,2026-08-27 19:35:34
EK 2415,Atterraggio,23:25,00:02,DUBAI,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 3413,Atterraggio,23:25,23:25,KATOWICE,Estero/Italia,OPERATO DA BUZZ,2026-08-27 19:35:34
FZ 1572,Atterraggio,23:25,00:02,DUBAI,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
W6 4124,Atterraggio,23:35,23:35,BELGRADE,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 2285,Atterraggio,05:45,05:45,NAPOLI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 2697,Atterraggio,05:45,05:45,LONDON STANSTED,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 3593,Atterraggio,05:45,05:45,POZNAN,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 5139,Atterraggio,05:50,05:50,FARO,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 2107,Atterraggio,06:00,06:00,BUDAPEST,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 7324,Atterraggio,06:05,06:05,MALTA,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 2872,Atterraggio,06:10,06:10,VILNIUS,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 3528,Atterraggio,06:15,06:15,PRAGUE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 1533,Atterraggio,06:25,06:25,VIENNA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 4311,Atterraggio,06:30,06:30,ROVANIEMI,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 3432,Atterraggio,06:30,06:30,PARIS BEAUVAIS,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 259,Atterraggio,06:35,06:35,BUCHAREST OTOPENI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 2261,Atterraggio,06:40,06:40,CATANIA,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 3460,Atterraggio,06:40,06:40,EINDHOVEN,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 4993,Atterraggio,06:50,06:50,CEFALONIA,Estero/Italia,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-27 19:35:34
