numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,status,scan_timestamp
FR 3319,Decollo,15:45,15:45,BARCELONA EL PRAT,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-27 09:48:21
FR 259,Atterraggio,07:20,09:50,BUCHAREST OTOPENI,IMBARCO CHIUSO,2026-08-27 09:48:21
DN 422,Atterraggio,08:05,08:05,BACAU,CANCELLATO,2026-08-27 09:48:21
W4 7691,Atterraggio,08:40,09:38,ORADEA,DECOLLATO,2026-08-27 09:48:21
FR 2990,Atterraggio,09:20,09:20,COPENHAGEN,DECOLLATO,2026-08-27 09:48:21
FR 3657,Atterraggio,09:25,09:49,EDINBURGH,IMBARCO CHIUSO,2026-08-27 09:48:21
FR 3673,Atterraggio,09:25,09:45,LONDON STANSTED,IMBARCO CHIUSO,2026-08-27 09:48:21
FR 461,Atterraggio,09:40,09:40,NEWCASTLE,IMBARCO CHIUSO,2026-08-27 09:48:21
FR 888,Atterraggio,09:40,09:40,KRAKOW,DECOLLATO,2026-08-27 09:48:21
D8 3881,Atterraggio,09:40,09:40,BILLUND,DECOLLATO,2026-08-27 09:48:21
FR 4196,Atterraggio,09:50,10:30,CORFU,IN RITARDO,2026-08-27 09:48:21
FR 4714,Atterraggio,09:50,09:50,RIGA,DECOLLATO,2026-08-27 09:48:21
FR 3659,Atterraggio,09:55,12:50,BRUXELLES CHARLEROI,IN RITARDO,2026-08-27 09:48:21
FR 8355,Atterraggio,10:00,10:00,TIRANA,IMBARCO CHIUSO,2026-08-27 09:48:21
FR 4631,Atterraggio,10:15,10:15,VALENCIA,IMBARCO IN CORSO,2026-08-27 09:48:21
FR 1536,Atterraggio,10:25,10:25,CASTELLON DE LA PLANA,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 2888,Atterraggio,10:25,10:25,CATANIA,IMBARCO IN CORSO,2026-08-27 09:48:21
FR 8334,Atterraggio,10:30,10:30,IBIZA,Operativo,2026-08-27 09:48:21
FR 2087,Atterraggio,10:45,10:45,LISBON,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 2649,Atterraggio,10:50,10:50,MALAGA,Operativo,2026-08-27 09:48:21
FR 4201,Atterraggio,10:50,11:10,RHODES,IN RIT,2026-08-27 09:48:21
3O 458,Atterraggio,10:50,10:50,CASABLANCA,Operativo,2026-08-27 09:48:21
FR 1417,Atterraggio,11:15,11:15,LAMEZIA,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 4650,Atterraggio,11:35,11:35,TRAPANI,Operativo,2026-08-27 09:48:21
FR 1784,Atterraggio,11:35,11:35,COPENHAGEN,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 4658,Atterraggio,11:35,11:35,BARI,OPERATO DA MALTA AIR,2026-08-27 09:48:21
AZ 7048,Atterraggio,11:45,11:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 09:48:21
FR 7324,Atterraggio,11:45,11:45,MALTA,Operativo,2026-08-27 09:48:21
PC 1212,Atterraggio,11:45,11:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 09:48:21
FR 6257,Atterraggio,11:55,11:55,KRAKOW,OPERATO DA BUZZ,2026-08-27 09:48:21
FR 2872,Atterraggio,12:05,12:05,VILNIUS,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 845,Atterraggio,12:05,12:05,CLUJ-NAPOCA,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 3450,Atterraggio,12:15,12:15,TANGIER,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 2669,Atterraggio,12:45,12:45,BERLIN,OPERATO DA MALTA AIR,2026-08-27 09:48:21
VF 062,Atterraggio,12:45,12:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 09:48:21
FR 3142,Atterraggio,12:55,13:35,BARCELONA EL PRAT,IN RITARDO,2026-08-27 09:48:21
FR 5139,Atterraggio,12:55,12:55,FARO,Operativo,2026-08-27 09:48:21
D8 3751,Atterraggio,12:55,12:55,COPENHAGEN,Operativo,2026-08-27 09:48:21
FR 3217,Atterraggio,13:05,13:05,MANCHESTER,Operativo,2026-08-27 09:48:21
FR 6125,Atterraggio,13:20,13:20,DUBLIN,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 2697,Atterraggio,13:25,13:25,LONDON STANSTED,OPERATO DA MALTA AIR,2026-08-27 09:48:21
W4 3772,Atterraggio,13:25,14:25,CRAIOVA,IN RITARDO,2026-08-27 09:48:21
FR 2864,Atterraggio,13:25,13:25,BRINDISI,Operativo,2026-08-27 09:48:21
FR 5531,Atterraggio,13:30,13:30,COLOGNE,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FZ 1574,Atterraggio,13:40,14:10,DUBAI,IN RITARDO,2026-08-27 09:48:21
YW 8146,Atterraggio,13:40,13:40,PALMA DE MALLORCA,Operativo,2026-08-27 09:48:21
EK 2141,Atterraggio,13:40,14:10,DUBAI,IN RITARDO,2026-08-27 09:48:21
FR 4001,Atterraggio,13:50,13:50,LANZAROTE,Operativo,2026-08-27 09:48:21
F3 586,Atterraggio,14:00,14:00,RIYADH,Operativo,2026-08-27 09:48:21
SM 832,Atterraggio,14:25,14:25,SHARM EL SHEIKH,Operativo,2026-08-27 09:48:21
FR 2254,Atterraggio,14:25,14:25,ALGHERO,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 6513,Atterraggio,14:35,14:35,OLBIA,Operativo,2026-08-27 09:48:21
FR 219,Atterraggio,14:50,14:50,ALICANTE,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 3480,Atterraggio,14:55,14:55,CAGLIARI,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 3460,Atterraggio,14:55,14:55,EINDHOVEN,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 1903,Atterraggio,15:25,15:25,VARSAVIA MODLIN,Operativo,2026-08-27 09:48:21
FR 5980,Atterraggio,15:30,15:30,TOULOUSE,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 3396,Atterraggio,15:35,15:35,CROTONE,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 6703,Atterraggio,15:35,15:35,SKIATHOS,Operativo,2026-08-27 09:48:21
W4 5018,Atterraggio,15:45,15:45,TIRANA,OPERATO DA WIZZAIR HUNGARY,2026-08-27 09:48:21
FR 3319,Atterraggio,15:45,15:45,BARCELONA EL PRAT,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-27 09:48:21
