callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp,volo,compagnia_aerea,stato_destinazione,minuti_ritardo,stato_ritardo
FR 3319,Decollo (D),BARCELONA EL PRAT,10:45,10:45,OPERATO DA MALTA,2026-09-11 06:00:22,FR 3319,Ryanair,Spagna,0,In Orario
3O 452,Decollo (D),CASABLANCA,10:50,10:50,Operativo,2026-09-11 06:00:22,3O 452,Air Arabia Maroc,Marocco,0,In Orario
NO 5680,Decollo (D),KARPATHOS/KOS,11:00,11:00,Operativo,2026-09-11 06:00:22,NO 5680,Compagnia NO ,Grecia,0,In Orario
FR 5102,Decollo (D),BIRMINGHAM,11:00,11:00,Operativo,2026-09-11 06:00:22,FR 5102,Ryanair,Regno Unito,0,In Orario
FR 497,Decollo (D),VALENCIA,11:05,11:05,Operativo,2026-09-11 06:00:22,FR 497,Ryanair,Spagna,0,In Orario
FR 9890,Decollo (D),LODZ,11:15,11:15,OPERATO DA MALTA AIR,2026-09-11 06:00:22,FR 9890,Ryanair,Polonia,0,In Orario
FR 3645,Decollo (D),EDINBURGH,11:15,11:15,Operativo,2026-09-11 06:00:22,FR 3645,Ryanair,Regno Unito,0,In Orario
FR 8334,Decollo (D),IBIZA,11:20,11:20,Operativo,2026-09-11 06:00:22,FR 8334,Ryanair,Spagna,0,In Orario
PC 1212,Decollo (D),ISTANBUL S. GOKCEN,11:45,11:45,Operativo,2026-09-11 06:00:22,PC 1212,Pegasus Airlines,Turchia,0,In Orario
FR 2254,Decollo (D),ALGHERO,11:55,12:20,IN RITARDO,2026-09-11 06:00:22,FR 2254,Ryanair,Italia,25,Ritardo (+25 min)
E5 543,Decollo (D),CAIRO,12:20,12:55,IN RITARDO,2026-09-11 06:00:22,E5 543,Compagnia E5 ,Egitto,35,Ritardo (+35 min)
FR 4196,Decollo (D),CORFU,12:40,13:20,IN RITARDO,2026-09-11 06:00:22,FR 4196,Ryanair,Grecia,40,Ritardo (+40 min)
FR 4201,Decollo (D),RHODES,12:55,13:20,IN RITARDO,2026-09-11 06:00:22,FR 4201,Ryanair,Grecia,25,Ritardo (+25 min)
FR 5655,Decollo (D),PALMA DE MALLORCA,16:30,17:10,IN RITARDO,2026-09-11 06:00:22,FR 5655,Ryanair,Spagna,40,Ritardo (+40 min)
XZ 2824,Decollo (D),CATANIA,17:10,19:00,IN RITARDO Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-11 06:00:22,XZ 2824,SkyAlps,Italia,110,Ritardo (+110 min)
