callsign,tipo_movimento,is_scheduled,destinazione_finale,compagnia_aerea,modello_aereo,orario_schedulato,timestamp,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,matched_score
WUK6008,Cargo/Non Schedulato,False,United Kingdom,Wizz Air UK,Airbus A320-200,,2026-09-11 01:02:22,N/D,Sorvolo,N/D,10363,307.45,18.83,United Kingdom,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:02:22,N/D,Sorvolo,N/D,2636,108.5,12.21,Ireland,0
RYR8512,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:02:22,N/D,Sorvolo,N/D,1021,284.85,17.15,Malta,0
WUK6008,Cargo/Non Schedulato,False,United Kingdom,Wizz Air UK,Airbus A320-200,,2026-09-11 01:02:56,N/D,Sorvolo,N/D,10370,307.45,14.58,United Kingdom,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:02:56,N/D,Sorvolo,N/D,2499,108.24,12.39,Ireland,0
RYR8512,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:02:56,N/D,Sorvolo,N/D,891,285.12,14.52,Malta,0
WUK6008,Cargo/Non Schedulato,False,United Kingdom,Wizz Air UK,Airbus A320-200,,2026-09-11 01:04:23,N/D,Sorvolo,N/D,10363,307.58,17.34,United Kingdom,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:04:23,N/D,Sorvolo,N/D,1988,108.57,19.76,Ireland,0
RYR8512,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:04:23,RWY 28,Avvicinamento,Est -> Ovest,464,285.69,6.38,Malta,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:04:57,N/D,Transito,N/D,1905,108.36,22.92,Ireland,0
RYR8512,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:04:57,RWY 28,Atterraggio,Est -> Ovest,350,285.15,4.19,Malta,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:06:23,N/D,Transito,N/D,1485,358.16,22.99,Ireland,0
RYR8512,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:06:23,RWY 28,Atterraggio,Est -> Ovest,220,284.78,1.87,Malta,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:06:58,N/D,Transito,N/D,1257,347.13,20.89,Ireland,0
RYR8512,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:06:58,RWY 28,Atterraggio,Est -> Ovest,220,284.78,1.87,Malta,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:08:24,N/D,Sorvolo,N/D,845,284.95,13.54,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:08:24,N/D,Transito,N/D,1638,356.15,26.31,Georgia,0
RYR8512,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:08:24,RWY 28,Atterraggio,Est -> Ovest,220,284.78,1.87,Malta,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:08:59,N/D,Sorvolo,N/D,655,284.83,10.04,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:08:59,N/D,Transito,N/D,1264,358.8,23.38,Georgia,0
RYR8512,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:08:59,RWY 28,Atterraggio,Est -> Ovest,220,284.78,1.87,Malta,0
WMT952,Cargo/Non Schedulato,False,Hungary,Wizz Air Malta,Airbus A320-200,,2026-09-11 01:10:25,N/D,Transito,N/D,6972,270.46,21.74,Hungary,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:10:25,RWY 28,Atterraggio,Est -> Ovest,312,284.78,3.5,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:10:25,N/D,Sorvolo,N/D,1013,287.7,17.61,Georgia,0
RYR8512,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:10:25,RWY 28,Atterraggio,Est -> Ovest,220,284.78,1.87,Malta,0
WMT952,Cargo/Non Schedulato,False,Hungary,Wizz Air Malta,Airbus A320-200,,2026-09-11 01:11:00,N/D,Sorvolo,N/D,6591,270.0,14.23,Hungary,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:11:00,N/D,Transito,N/D,1699,359.72,26.29,Ireland,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:11:00,RWY 28,Atterraggio,Est -> Ovest,228,285.42,1.92,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:11:00,N/D,Sorvolo,N/D,853,285.09,13.59,Georgia,0
WMT952,Cargo/Non Schedulato,False,Hungary,Wizz Air Malta,Airbus A320-200,,2026-09-11 01:12:26,N/D,Sorvolo,N/D,5532,261.17,2.88,Hungary,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:12:26,N/D,Transito,N/D,1325,357.79,21.56,Ireland,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:12:26,RWY 28,Atterraggio,Est -> Ovest,228,285.42,1.92,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:12:26,RWY 28,Avvicinamento,Est -> Ovest,502,284.78,6.94,Georgia,0
WMT952,Cargo/Non Schedulato,False,Hungary,Wizz Air Malta,Airbus A320-200,,2026-09-11 01:13:01,N/D,Avvicinamento,Rotta 242.1°,4968,242.13,9.97,Hungary,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:13:01,N/D,Sorvolo,N/D,1150,291.37,19.15,Ireland,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:13:01,RWY 28,Atterraggio,Est -> Ovest,228,285.42,1.92,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:13:01,RWY 28,Atterraggio,Est -> Ovest,335,284.69,3.93,Georgia,0
WMT952,Cargo/Non Schedulato,False,Hungary,Wizz Air Malta,Airbus A320-200,,2026-09-11 01:14:28,N/D,Transito,N/D,4030,243.21,24.26,Hungary,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:14:28,N/D,Sorvolo,N/D,777,285.34,12.27,Ireland,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:14:28,RWY 28,Atterraggio,Est -> Ovest,228,285.42,1.92,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:14:28,RWY 28,Atterraggio,Est -> Ovest,228,284.96,1.83,Georgia,0
RYR15BQ,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:14:28,N/D,Transito,N/D,1645,357.35,24.79,Malta,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:15:02,RWY 28,Avvicinamento,Est -> Ovest,586,283.05,8.72,Ireland,0
RYR8SQ,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:15:02,RWY 28,Atterraggio,Est -> Ovest,228,285.42,1.92,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:15:02,RWY 28,Atterraggio,Est -> Ovest,228,284.96,1.83,Georgia,0
RYR15BQ,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:15:02,N/D,Transito,N/D,1432,358.27,22.39,Malta,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:16:29,RWY 28,Atterraggio,Est -> Ovest,228,284.76,1.84,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:16:29,RWY 28,Atterraggio,Est -> Ovest,228,284.96,1.83,Georgia,0
RYR15BQ,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:16:29,N/D,Sorvolo,N/D,944,284.58,15.62,Malta,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:17:03,RWY 28,Atterraggio,Est -> Ovest,228,284.76,1.84,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:17:03,RWY 28,Atterraggio,Est -> Ovest,228,284.96,1.83,Georgia,0
RYR15BQ,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:17:03,N/D,Sorvolo,N/D,807,284.97,12.92,Malta,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:18:30,RWY 28,Atterraggio,Est -> Ovest,228,284.76,1.84,Ireland,0
IGT1201,Cargo/Non Schedulato,False,Georgia,Compagnia IGT,N/D,,2026-09-11 01:18:30,RWY 28,Atterraggio,Est -> Ovest,228,284.96,1.83,Georgia,0
RYR15BQ,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:18:30,RWY 28,Avvicinamento,Est -> Ovest,464,285.39,6.31,Malta,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:19:04,RWY 28,Atterraggio,Est -> Ovest,228,284.76,1.84,Ireland,0
