callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp,volo,compagnia_aerea,stato_destinazione,minuti_ritardo,stato_ritardo
FR 3528,Decollo (D),PRAGUE,05:45,05:45,Operativo,2026-09-10 00:41:54,FR 3528,Ryanair,Repubblica Ceca,0,In Orario
FR 9065,Decollo (D),ALICANTE,05:45,05:45,Operativo,2026-09-10 00:41:54,FR 9065,Ryanair,Spagna,0,In Orario
FR 2261,Decollo (D),CATANIA,05:50,05:50,Operativo,2026-09-10 00:41:54,FR 2261,Ryanair,Italia,0,In Orario
FR 3200,Decollo (D),CAGLIARI,05:50,05:50,OPERATO DA MALTA AIR,2026-09-10 00:41:54,FR 3200,Ryanair,Italia,0,In Orario
FR 2830,Decollo (D),TENERIFE,05:50,05:50,Operativo,2026-09-10 00:41:54,FR 2830,Ryanair,Spagna,0,In Orario
FR 5655,Decollo (D),PALMA DE MALLORCA,05:55,05:55,Operativo,2026-09-10 00:41:54,FR 5655,Ryanair,Spagna,0,In Orario
FR 8121,Decollo (D),TIRANA,06:00,06:00,OPERATO DA MALTA AIR,2026-09-10 00:41:54,FR 8121,Ryanair,Albania,0,In Orario
FR 266,Decollo (D),FUERTEVENTURA,06:05,06:05,OPERATO DA MALTA AIR,2026-09-10 00:41:54,FR 266,Ryanair,Spagna,0,In Orario
FR 3545,Decollo (D),FEZ,06:05,06:05,OPERATO DA MALTA AIR,2026-09-10 00:41:54,FR 3545,Ryanair,Marocco,0,In Orario
FR 3400,Decollo (D),SOFIA,06:15,06:15,Operativo,2026-09-10 00:41:54,FR 3400,Ryanair,Bulgaria,0,In Orario
FR 3653,Decollo (D),BARI,06:20,06:20,Operativo,2026-09-10 00:41:54,FR 3653,Ryanair,Italia,0,In Orario
FR 410,Decollo (D),LUXEMBOURG,06:20,06:20,Operativo,2026-09-10 00:41:54,FR 410,Ryanair,Lussemburgo,0,In Orario
FR 6854,Decollo (D),HELSINKI,06:25,06:25,Operativo,2026-09-10 00:41:54,FR 6854,Ryanair,Finlandia,0,In Orario
FR 5148,Decollo (D),ZADAR,06:30,06:30,Operativo,2026-09-10 00:41:54,FR 5148,Ryanair,Croazia,0,In Orario
FR 4993,Decollo (D),CEFALONIA,06:35,06:35,OPERATO DA MALTA AIR,2026-09-10 00:41:54,FR 4993,Ryanair,Estero/Italia,0,In Orario
FR 497,Decollo (D),VALENCIA,06:35,06:35,OPERATO DA MALTA AIR,2026-09-10 00:41:54,FR 497,Ryanair,Spagna,0,In Orario
FR 2878,Decollo (D),STOCKHOLM,06:45,06:45,Operativo,2026-09-10 00:41:54,FR 2878,Ryanair,Svezia,0,In Orario
FR 2285,Decollo (D),NAPOLI,07:10,07:10,Operativo,2026-09-10 00:41:54,FR 2285,Ryanair,Italia,0,In Orario
FR 259,Decollo (D),BUCHAREST OTOPENI,07:20,07:20,OPERATO DA MALTA AIR,2026-09-10 00:41:54,FR 259,Ryanair,Romania,0,In Orario
FR 1853,Decollo (D),MARSEILLE,07:25,07:25,Operativo,2026-09-10 00:41:54,FR 1853,Ryanair,Francia,0,In Orario
W4 3132,Decollo (D),BUCHAREST BANEASA,07:30,07:30,OPERATO DA WIZZAIR HUNGARY,2026-09-10 00:41:54,W4 3132,Wizz Air Malta,Romania,0,In Orario
FR 9890,Decollo (D),LODZ,07:35,07:35,Operativo,2026-09-10 00:41:54,FR 9890,Ryanair,Polonia,0,In Orario
V7 1316,Decollo (D),OLBIA,07:45,07:45,Operativo,2026-09-10 00:41:54,V7 1316,Compagnia V7 ,Italia,0,In Orario
FR 076,Decollo (D),SEVILLA,07:55,07:55,Operativo,2026-09-10 00:41:54,FR 076,Ryanair,Spagna,0,In Orario
FR 3408,Decollo (D),KATOWICE,07:55,07:55,OPERATO DA BUZZ,2026-09-10 00:41:54,FR 3408,Ryanair,Polonia,0,In Orario
FR 3962,Decollo (D),MARRAKECH,07:55,07:55,Operativo,2026-09-10 00:41:54,FR 3962,Ryanair,Marocco,0,In Orario
W4 3552,Decollo (D),TIMISOARA,07:55,07:55,Operativo,2026-09-10 00:41:54,W4 3552,Wizz Air Malta,Romania,0,In Orario
W4 3672,Decollo (D),IASI,08:00,08:00,Operativo,2026-09-10 00:41:54,W4 3672,Wizz Air Malta,Romania,0,In Orario
