numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
NO 2474,Atterraggio,00:40,00:40,DAKAR,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 3432,Atterraggio,05:45,05:45,PARIS BEAUVAIS,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 3528,Atterraggio,05:45,05:45,PRAGUE,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 9065,Atterraggio,05:45,05:45,ALICANTE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 3200,Atterraggio,05:50,05:50,CAGLIARI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 2830,Atterraggio,05:50,05:50,TENERIFE,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 2261,Atterraggio,05:50,05:50,CATANIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 5655,Atterraggio,05:55,05:55,PALMA DE MALLORCA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 8121,Atterraggio,06:00,06:00,TIRANA,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 266,Atterraggio,06:05,06:05,FUERTEVENTURA,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 3545,Atterraggio,06:05,06:05,FEZ,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 3400,Atterraggio,06:15,06:15,SOFIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 410,Atterraggio,06:20,06:20,LUXEMBOURG,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 3653,Atterraggio,06:20,06:20,BARI,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 2289,Atterraggio,06:20,06:20,PALERMO,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 6854,Atterraggio,06:25,06:25,HELSINKI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 5148,Atterraggio,06:30,06:30,ZADAR,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 4993,Atterraggio,06:35,06:35,CEFALONIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 497,Atterraggio,06:35,06:35,VALENCIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 2878,Atterraggio,06:45,06:45,STOCKHOLM,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 2285,Atterraggio,07:10,07:10,NAPOLI,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 259,Atterraggio,07:20,07:20,BUCHAREST OTOPENI,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 1853,Atterraggio,07:25,07:25,MARSEILLE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
W4 3132,Atterraggio,07:30,07:30,BUCHAREST OTOPENI,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-26 22:12:28
FR 9890,Atterraggio,07:35,07:35,LODZ,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 3962,Atterraggio,07:55,07:55,MARRAKECH,Estero/Italia,Operativo,2026-08-26 22:12:28
W4 3552,Atterraggio,07:55,07:55,TIMISOARA,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 3408,Atterraggio,07:55,07:55,KATOWICE,Estero/Italia,OPERATO DA BUZZ,2026-08-26 22:12:28
FR 2107,Atterraggio,08:00,08:00,BUDAPEST,Estero/Italia,OPERATO DA BUZZ,2026-08-26 22:12:28
W4 3672,Atterraggio,08:00,08:00,IASI,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 1746,Atterraggio,08:00,08:00,KNOCK,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 5092,Atterraggio,08:05,08:05,LAMEZIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 847,Atterraggio,08:05,08:05,BARCELONA EL PRAT,Estero/Italia,Operativo,2026-08-26 22:12:28
DN 422,Atterraggio,08:05,08:05,BACAU,Estero/Italia,Operativo,2026-08-26 22:12:28
W6 4352,Atterraggio,08:10,08:10,SOFIA,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-26 22:12:28
FR 6451,Atterraggio,08:25,08:25,PALERMO,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 1533,Atterraggio,08:30,08:30,VIENNA,Estero/Italia,OPERATO DA LAUDA EUROPE,2026-08-26 22:12:28
FR 3341,Atterraggio,08:30,08:30,VARSAVIA MODLIN,Estero/Italia,OPERATO DA BUZZ Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-26 22:12:28
