timestamp,sessione_notturna,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese
2026-09-10 23:31:50,2026-09-10,RYR2UW,4ca8d4,N/D,Sorvolo,N/D,2735,156.61,15.34,Ireland
2026-09-10 23:31:50,2026-09-10,RYR74UN,4d23fa,N/D,Transito,N/D,1699,332.84,26.94,Malta
2026-09-10 23:33:36,2026-09-10,RYR15HE,48c22e,RWY 28,Avvicinamento,Est -> Ovest,434,284.69,5.8,Poland
2026-09-10 23:33:36,2026-09-10,RYR74UN,4d23fa,N/D,Sorvolo,N/D,1059,282.44,17.77,Malta
2026-09-10 23:33:51,2026-09-10,RYR15HE,48c22e,RWY 28,Avvicinamento,Est -> Ovest,403,284.31,5.19,Poland
2026-09-10 23:33:51,2026-09-10,RYR74UN,4d23fa,N/D,Sorvolo,N/D,1005,284.04,16.76,Malta
2026-09-10 23:35:37,2026-09-10,RYR3KJ,4ca24e,N/D,Sorvolo,N/D,1211,317.69,19.97,Ireland
2026-09-10 23:35:37,2026-09-10,RYR15HE,48c22e,RWY 28,Atterraggio,Est -> Ovest,228,284.98,1.91,Poland
2026-09-10 23:35:37,2026-09-10,RYR74UN,4d23fa,RWY 28,Avvicinamento,Est -> Ovest,487,284.57,6.79,Malta
2026-09-10 23:35:52,2026-09-10,RYR3KJ,4ca24e,N/D,Sorvolo,N/D,1165,302.95,19.33,Ireland
2026-09-10 23:35:52,2026-09-10,RYR15HE,48c22e,RWY 28,Atterraggio,Est -> Ovest,228,284.98,1.91,Poland
2026-09-10 23:35:52,2026-09-10,RYR74UN,4d23fa,RWY 28,Avvicinamento,Est -> Ovest,449,284.76,6.12,Malta
2026-09-10 23:37:38,2026-09-10,RYR3KJ,4ca24e,RWY 28,Avvicinamento,Est -> Ovest,594,284.43,8.83,Ireland
2026-09-10 23:37:38,2026-09-10,RYR15HE,48c22e,RWY 28,Atterraggio,Est -> Ovest,228,284.98,1.91,Poland
2026-09-10 23:37:38,2026-09-10,RYR49HY,4ca703,N/D,Transito,N/D,1386,357.55,21.45,Ireland
2026-09-10 23:37:38,2026-09-10,RYR74UN,4d23fa,RWY 28,Atterraggio,Est -> Ovest,220,284.98,1.89,Malta
2026-09-10 23:37:53,2026-09-10,RYR3KJ,4ca24e,RWY 28,Avvicinamento,Est -> Ovest,495,285.43,7.08,Ireland
2026-09-10 23:37:53,2026-09-10,RYR15HE,48c22e,RWY 28,Atterraggio,Est -> Ovest,228,284.98,1.91,Poland
2026-09-10 23:37:53,2026-09-10,RYR49HY,4ca703,N/D,Transito,N/D,1257,322.17,20.13,Ireland
2026-09-10 23:37:53,2026-09-10,RYR74UN,4d23fa,RWY 28,Atterraggio,Est -> Ovest,220,284.98,1.89,Malta
2026-09-10 23:37:53,2026-09-10,BCS943,451dbd,N/D,Transito,N/D,6408,260.68,23.12,Bulgaria
2026-09-10 23:39:39,2026-09-10,RYR3KJ,4ca24e,RWY 28,Atterraggio,Est -> Ovest,220,285.63,1.85,Ireland
2026-09-10 23:39:39,2026-09-10,RYR15HE,48c22e,RWY 28,Atterraggio,Est -> Ovest,228,284.98,1.91,Poland
2026-09-10 23:39:39,2026-09-10,RYR2UW,4ca8d4,N/D,Transito,N/D,1638,358.04,25.33,Ireland
2026-09-10 23:39:39,2026-09-10,RYR49HY,4ca703,N/D,Sorvolo,N/D,678,284.81,10.41,Ireland
2026-09-10 23:39:39,2026-09-10,RYR74UN,4d23fa,RWY 28,Atterraggio,Est -> Ovest,220,284.98,1.89,Malta
2026-09-10 23:39:39,2026-09-10,BCS943,451dbd,N/D,Sorvolo,N/D,5471,261.28,8.85,Bulgaria
2026-09-10 23:39:54,2026-09-10,RYR3KJ,4ca24e,RWY 28,Atterraggio,Est -> Ovest,220,285.63,1.85,Ireland
2026-09-10 23:39:54,2026-09-10,RYR2UW,4ca8d4,N/D,Transito,N/D,1531,358.49,24.0,Ireland
2026-09-10 23:39:54,2026-09-10,RYR49HY,4ca703,RWY 28,Avvicinamento,Est -> Ovest,586,284.85,8.83,Ireland
2026-09-10 23:39:54,2026-09-10,RYR74UN,4d23fa,RWY 28,Atterraggio,Est -> Ovest,220,284.98,1.89,Malta
2026-09-10 23:39:54,2026-09-10,BCS943,451dbd,N/D,Sorvolo,N/D,5265,260.92,9.12,Bulgaria
2026-09-10 23:41:40,2026-09-10,WMT5PL,471f70,N/D,Transito,N/D,5478,243.86,27.32,Hungary
2026-09-10 23:41:40,2026-09-10,RYR3KJ,4ca24e,RWY 28,Atterraggio,Est -> Ovest,220,285.63,1.85,Ireland
2026-09-10 23:41:40,2026-09-10,RYR2UW,4ca8d4,N/D,Sorvolo,N/D,990,283.82,16.5,Ireland
2026-09-10 23:41:40,2026-09-10,RYR49HY,4ca703,RWY 28,Atterraggio,Est -> Ovest,228,285.1,1.96,Ireland
2026-09-10 23:41:40,2026-09-10,RYR74UN,4d23fa,RWY 28,Atterraggio,Est -> Ovest,220,284.98,1.89,Malta
2026-09-10 23:41:40,2026-09-10,BCS943,451dbd,N/D,Transito,N/D,4114,245.82,24.95,Bulgaria
2026-09-10 23:41:55,2026-09-10,RYR3KJ,4ca24e,RWY 28,Atterraggio,Est -> Ovest,220,285.63,1.85,Ireland
2026-09-10 23:41:55,2026-09-10,RYR2UW,4ca8d4,N/D,Sorvolo,N/D,899,285.36,14.71,Ireland
2026-09-10 23:41:55,2026-09-10,RYR49HY,4ca703,RWY 28,Atterraggio,Est -> Ovest,228,285.1,1.96,Ireland
2026-09-10 23:41:55,2026-09-10,BCS943,451dbd,N/D,Transito,N/D,3901,246.88,28.3,Bulgaria
